C++ parallel 4 | Size 10 | 0.001 seconds | 1483.82 | [ 8 4 7 1 3 0 2 5 6 9 ]
C++ parallel 4 | Size 11 | 0.002 seconds | 1529.18 | [ 4 8 9 6 5 2 0 3 1 7 10 ]
C++ parallel 4 | Size 12 | 0.006 seconds | 1529.62 | [ 8 9 6 5 2 0 3 1 7 10 4 11 ]
C++ parallel 4 | Size 13 | 0.005 seconds | 1531.18 | [ 6 9 8 11 4 10 7 1 3 0 2 5 12 ]
C++ parallel 4 | Size 14 | 0.005 seconds | 1534.50 | [ 5 12 6 9 8 11 4 10 7 1 3 0 2 13 ]
C++ parallel 4 | Size 15 | 0.020 seconds | 1646.86 | [ 9 8 11 4 10 7 1 3 0 2 13 5 12 6 14 ]
C++ parallel 4 | Size 16 | 0.014 seconds | 1705.58 | [ 0 3 7 1 2 10 4 11 8 9 14 6 12 5 13 15 ]
C++ parallel 4 | Size 17 | 0.055 seconds | 1818.18 | [ 14 9 8 11 4 10 2 1 7 3 0 15 13 5 12 6 16 ]
C++ parallel 4 | Size 18 | 0.043 seconds | 1828.53 | [ 14 16 6 12 5 13 15 0 3 7 1 2 10 4 11 8 9 17 ]
C++ parallel 4 | Size 19 | 0.041 seconds | 1829.87 | [ 3 7 1 2 10 4 11 8 9 17 14 16 6 12 5 13 15 0 18 ]
C++ parallel 4 | Size 20 | 0.096 seconds | 1861.09 | [ 6 12 5 13 15 0 18 3 7 1 2 10 4 11 8 9 17 14 16 19 ]
C++ parallel 4 | Size 21 | 0.069 seconds | 1865.81 | [ 10 4 11 8 9 17 14 16 19 6 12 5 13 15 0 18 3 7 1 2 20 ]
C++ parallel 4 | Size 22 | 0.169 seconds | 1891.83 | [ 18 3 7 1 2 20 10 4 11 8 9 17 14 16 19 6 12 5 13 15 0 21 ]
C++ parallel 4 | Size 23 | 0.577 seconds | 1897.69 | [ 5 13 15 0 21 18 3 7 1 2 20 10 4 11 8 9 17 14 16 19 6 12 22 ]
C++ parallel 4 | Size 24 | 0.433 seconds | 1946.16 | [ 8 11 4 10 20 2 1 7 3 18 21 0 15 13 5 22 12 6 19 16 14 17 9 23 ]
C++ parallel 4 | Size 25 | 1.096 seconds | 1964.82 | [ 1 7 3 18 21 0 15 13 5 22 12 6 19 16 14 17 9 23 8 11 4 10 20 2 24 ]
C++ parallel 4 | Size 26 | 16.477 seconds | 2029.42 | [ 13 15 0 21 18 3 7 1 24 2 20 10 4 11 8 23 9 17 14 16 19 6 12 22 5 25 ]
C++ parallel 4 | Size 27 | 12.449 seconds | 2083.86 | [ 4 10 20 2 24 1 7 3 18 21 0 15 13 25 5 22 12 6 19 16 14 17 9 23 11 8 26 ]
C++ parallel 4 | Size 28 | 21.087 seconds | 2118.28 | [ 21 3 18 0 24 2 1 7 20 10 4 26 8 11 23 9 17 14 16 19 6 12 22 5 25 13 15 27 ]
C++ parallel 4 | Size 29 | 13.141 seconds | 2122.19 | [ 13 25 5 22 12 6 19 16 14 17 9 23 11 8 26 4 10 20 7 1 2 24 0 18 3 21 27 15 28 ]
C++ parallel 4 | Size 30 | 68.273 seconds | 2216.76 | [ 27 21 3 18 0 24 2 1 7 20 10 4 26 8 11 23 9 17 14 16 19 6 12 22 5 25 13 28 15 29 ]
